"코드","등록상태","보건소명","시·도","시·군·구","주소","전화번호","사업자번호","가입신청","승인","대기"
"SEO001","미등록","서울특별시 종로구보건소","서울특별시","종로구","서울 종로구 종로53길 23","02-2148-3500","","0","0","0"
"SEO002","미등록","서울특별시 중구보건소","서울특별시","중구","서울 중구 다산로 167","02-3396-6300","","0","0","0"
"SEO003","미등록","서울특별시 용산구보건소","서울특별시","용산구","서울 용산구 녹사평대로 150","02-2199-8000","","2","2","0"
"SEO004","미등록","서울특별시 성동구보건소","서울특별시","성동구","서울 성동구 왕십리로 410","02-2286-7000","","0","0","0"
"SEO005","미등록","서울특별시 광진구보건소","서울특별시","광진구","서울 광진구 자양로 117","02-450-1500","","0","0","0"
"SEO006","미등록","서울특별시 동대문구보건소","서울특별시","동대문구","서울 동대문구 천호대로 145","02-2127-5300","","0","0","0"
"SEO007","미등록","서울특별시 중랑구보건소","서울특별시","중랑구","서울 중랑구 봉화산로 179","02-2094-0800","","0","0","0"
"SEO008","미등록","서울특별시 성북구보건소","서울특별시","성북구","서울 성북구 보문로 168","02-2241-6300","","0","0","0"
"SEO009","미등록","서울특별시 강북구보건소","서울특별시","강북구","서울 강북구 도봉로 328","02-901-7600","","0","0","0"
"SEO010","미등록","서울특별시 도봉구보건소","서울특별시","도봉구","서울 도봉구 마들로 656","02-2091-4400","","0","0","0"
"SEO011","미등록","서울특별시 노원구보건소","서울특별시","노원구","서울 노원구 노원로 283","02-2116-4300","","0","0","0"
"SEO012","미등록","서울특별시 은평구보건소","서울특별시","은평구","서울 은평구 은평로 195","02-351-8200","","0","0","0"
"SEO013","미등록","서울특별시 서대문구보건소","서울특별시","서대문구","서울 서대문구 통일로 484","02-330-1800","","0","0","0"
"SEO014","미등록","서울특별시 마포구보건소","서울특별시","마포구","서울 마포구 월드컵로 212","02-3153-9000","","0","0","0"
"SEO015","미등록","서울특별시 양천구보건소","서울특별시","양천구","서울 양천구 목동동로 105","02-2620-3700","","0","0","0"
"SEO016","미등록","서울특별시 강서구보건소","서울특별시","강서구","서울 강서구 화곡로 302","02-2600-5800","","0","0","0"
"SEO017","미등록","서울특별시 구로구보건소","서울특별시","구로구","서울 구로구 가마산로 235","02-860-2600","","0","0","0"
"SEO018","미등록","서울특별시 금천구보건소","서울특별시","금천구","서울 금천구 시흥대로 73길 70","02-2627-2700","","0","0","0"
"SEO019","미등록","서울특별시 영등포구보건소","서울특별시","영등포구","서울 영등포구 영등포로 200","02-2670-4700","","0","0","0"
"SEO020","미등록","서울특별시 동작구보건소","서울특별시","동작구","서울 동작구 장승배기로 161","02-820-9400","","0","0","0"
"SEO021","미등록","서울특별시 관악구보건소","서울특별시","관악구","서울 관악구 관악로 145","02-879-7100","","0","0","0"
"SEO022","미등록","서울특별시 서초구보건소","서울특별시","서초구","서울 서초구 남부순환로 2584","02-2155-8000","","0","0","0"
"SEO023","미등록","서울특별시 강남구보건소","서울특별시","강남구","서울 강남구 선릉로 668","02-3423-7000","","0","0","0"
"SEO024","미등록","서울특별시 송파구보건소","서울특별시","송파구","서울 송파구 중대로 10","02-2147-3500","","0","0","0"
"SEO025","미등록","서울특별시 강동구보건소","서울특별시","강동구","서울 강동구 성내로 45","02-3425-6700","","0","0","0"
"PUS001","미등록","부산광역시 중구보건소","부산광역시","중구","부산 중구 중구로 120","051-600-4700","","0","0","0"
"PUS002","미등록","부산광역시 서구보건소","부산광역시","서구","부산 서구 구덕로 180","051-240-4800","","0","0","0"
"PUS003","미등록","부산광역시 동구보건소","부산광역시","동구","부산 동구 중앙대로 319","051-440-6500","","0","0","0"
"PUS004","미등록","부산광역시 영도구보건소","부산광역시","영도구","부산 영도구 태종로 187","051-419-4800","","0","0","0"
"PUS005","미등록","부산광역시 부산진구보건소","부산광역시","부산진구","부산 부산진구 시민공원로 30","051-605-6700","","0","0","0"
"PUS006","미등록","부산광역시 동래구보건소","부산광역시","동래구","부산 동래구 명륜로 76","051-550-6700","","0","0","0"
"PUS007","미등록","부산광역시 남구보건소","부산광역시","남구","부산 남구 수영로 309","051-607-6700","","0","0","0"
"PUS008","미등록","부산광역시 북구보건소","부산광역시","북구","부산 북구 화명대로 30","051-309-7000","","0","0","0"
"PUS009","미등록","부산광역시 해운대구보건소","부산광역시","해운대구","부산 해운대구 해운대로 570","051-749-7600","","0","0","0"
"PUS010","미등록","부산광역시 사하구보건소","부산광역시","사하구","부산 사하구 낙동대로 398번길 12","051-220-5900","","0","0","0"
"PUS011","미등록","부산광역시 금정구보건소","부산광역시","금정구","부산 금정구 중앙대로 1777","051-519-5000","","0","0","0"
"PUS012","미등록","부산광역시 강서구보건소","부산광역시","강서구","부산 강서구 가락대로 1393","051-970-3300","","0","0","0"
"PUS013","미등록","부산광역시 연제구보건소","부산광역시","연제구","부산 연제구 연제로 2","051-665-4800","","0","0","0"
"PUS014","미등록","부산광역시 수영구보건소","부산광역시","수영구","부산 수영구 수영로 521","051-610-5800","","0","0","0"
"PUS015","미등록","부산광역시 사상구보건소","부산광역시","사상구","부산 사상구 학감대로 226","051-310-4800","","0","0","0"
"PUS016","미등록","부산광역시 기장군보건소","부산광역시","기장군","부산 기장군 기장읍 기장대로 560","051-709-4000","","0","0","0"
"DAE001","미등록","대구광역시 중구보건소","대구광역시","중구","대구 중구 국채보상로 141","053-661-3000","","0","0","0"
"DAE002","미등록","대구광역시 동구보건소","대구광역시","동구","대구 동구 아양로 121","053-662-3000","","0","0","0"
"DAE003","미등록","대구광역시 서구보건소","대구광역시","서구","대구 서구 국채보상로 201","053-663-3000","","0","0","0"
"DAE004","미등록","대구광역시 남구보건소","대구광역시","남구","대구 남구 현충로 170","053-664-3000","","0","0","0"
"DAE005","미등록","대구광역시 북구보건소","대구광역시","북구","대구 북구 옥산로 20","053-665-3000","","0","0","0"
"DAE006","미등록","대구광역시 수성구보건소","대구광역시","수성구","대구 수성구 달구벌대로 2625","053-666-3000","","0","0","0"
"DAE007","미등록","대구광역시 달서구보건소","대구광역시","달서구","대구 달서구 달서대로 201","053-667-3000","","0","0","0"
"DAE008","미등록","대구광역시 달성군보건소","대구광역시","달성군","대구 달성군 현풍읍 현풍중앙로 66","053-668-3000","","0","0","0"
"DAE009","미등록","대구광역시 군위군보건소","대구광역시","군위군","대구 군위군 군위읍 군청길 1","054-380-6700","","0","0","0"
"ICN001","미등록","인천광역시 중구보건소","인천광역시","중구","인천 중구 우현로 50","032-760-6000","","0","0","0"
"ICN002","미등록","인천광역시 동구보건소","인천광역시","동구","인천 동구 방축로 71","032-770-6000","","0","0","0"
"ICN003","등록됨","인천광역시 미추홀구보건소","인천광역시","미추홀구","인천광역시 미추홀구 주안서로 25 (주안동 1530-1)","032-880-5310","131-83-00379","7","7","0"
"ICN004","미등록","인천광역시 연수구보건소","인천광역시","연수구","인천 연수구 청학로 77","032-749-8000","123-45-68798","2","2","0"
"ICN005","미등록","인천광역시 남동구보건소","인천광역시","남동구","인천 남동구 예술로 136","032-453-5800","122-34-87654","2","2","0"
"ICN006","미등록","인천광역시 부평구보건소","인천광역시","부평구","인천 부평구 부평대로 168","032-509-8200","","0","0","0"
"ICN007","미등록","인천광역시 계양구보건소","인천광역시","계양구","인천 계양구 계양산로 88","032-551-7000","","0","0","0"
"ICN008","미등록","인천광역시 서구보건소","인천광역시","서구","인천 서구 원당대로 1042","032-560-5000","","0","0","0"
"ICN009","미등록","인천광역시 강화군보건소","인천광역시","강화군","인천 강화군 강화읍 강화대로 394","032-930-4000","","0","0","0"
"ICN010","미등록","인천광역시 옹진군보건소","인천광역시","옹진군","인천 옹진군 인천항북항로 72","032-899-2300","","0","0","0"
"GWJ001","미등록","광주광역시 동구보건소","광주광역시","동구","광주 동구 준법로 7-12","062-608-3800","","0","0","0"
"GWJ002","미등록","광주광역시 서구보건소","광주광역시","서구","광주 서구 내방로 111","062-360-8000","","0","0","0"
"GWJ003","미등록","광주광역시 남구보건소","광주광역시","남구","광주 남구 봉선로 100","062-607-4800","","0","0","0"
"GWJ004","미등록","광주광역시 북구보건소","광주광역시","북구","광주 북구 설죽로 315","062-410-8200","","0","0","0"
"GWJ005","미등록","광주광역시 광산구보건소","광주광역시","광산구","광주 광산구 왕버들로 291","062-960-8700","","0","0","0"
"DJN001","미등록","대전광역시 동구보건소","대전광역시","동구","대전 동구 동구청로 147","042-251-4000","","0","0","0"
"DJN002","미등록","대전광역시 중구보건소","대전광역시","중구","대전 중구 중앙로 100","042-288-8000","","0","0","0"
"DJN003","미등록","대전광역시 서구보건소","대전광역시","서구","대전 서구 둔산로 100","042-270-4800","","0","0","0"
"DJN004","미등록","대전광역시 유성구보건소","대전광역시","유성구","대전 유성구 계룡로 105","042-611-5000","","0","0","0"
"DJN005","미등록","대전광역시 대덕구보건소","대전광역시","대덕구","대전 대덕구 대덕대로 1311","042-608-9000","","0","0","0"
"USN001","미등록","울산광역시 중구보건소","울산광역시","중구","울산 중구 북부순환도로 375","052-290-4700","","0","0","0"
"USN002","미등록","울산광역시 남구보건소","울산광역시","남구","울산 남구 삼산로 316","052-226-2000","","0","0","0"
"USN003","미등록","울산광역시 동구보건소","울산광역시","동구","울산 동구 방어진순환도로 778","052-209-4700","","0","0","0"
"USN004","미등록","울산광역시 북구보건소","울산광역시","북구","울산 북구 진장유통로 100","052-241-8000","","0","0","0"
"USN005","미등록","울산광역시 울주군보건소","울산광역시","울주군","울산 울주군 울주군청로 1","052-229-8000","","0","0","0"
"SJG001","미등록","세종특별자치시보건소","세종특별자치시","세종시","세종 한누리대로 2130","044-300-4700","","0","0","0"
"GGI001","미등록","수원시 장안구보건소","경기도","수원시 장안구","경기 수원시 장안구 정조로 944","031-228-2700","","0","0","0"
"GGI002","미등록","수원시 권선구보건소","경기도","수원시 권선구","경기 수원시 권선구 수인로 30","031-228-6700","","0","0","0"
"GGI003","미등록","수원시 팔달구보건소","경기도","수원시 팔달구","경기 수원시 팔달구 효원로 241","031-228-4700","","0","0","0"
"GGI004","미등록","수원시 영통구보건소","경기도","수원시 영통구","경기 수원시 영통구 봉영로 1585","031-228-8700","","0","0","0"
"GGI005","미등록","성남시 수정구보건소","경기도","성남시 수정구","경기 성남시 수정구 수정로 157","031-729-3700","","0","0","0"
"GGI006","미등록","성남시 중원구보건소","경기도","성남시 중원구","경기 성남시 중원구 성남대로 997","031-729-4700","","0","0","0"
"GGI007","미등록","성남시 분당구보건소","경기도","성남시 분당구","경기 성남시 분당구 분당로 53","031-729-5700","","0","0","0"
"GGI008","미등록","의정부시보건소","경기도","의정부시","경기 의정부시 의정부로 1","031-828-4700","","0","0","0"
"GGI009","미등록","안양시 만안구보건소","경기도","안양시 만안구","경기 안양시 만안구 안양로 592","031-8045-4700","","0","0","0"
"GGI010","미등록","안양시 동안구보건소","경기도","안양시 동안구","경기 안양시 동안구 흥안대로 427","031-8045-5700","","0","0","0"
"GGI011","미등록","부천시보건소","경기도","부천시","경기 부천시 길주로 210","032-625-4700","","0","0","0"
"GGI012","미등록","광명시보건소","경기도","광명시","경기 광명시 오리로 830","02-2680-4700","","0","0","0"
"GGI013","미등록","평택시보건소","경기도","평택시","경기 평택시 평택로 279","031-8024-4700","","0","0","0"
"GGI014","미등록","동두천시보건소","경기도","동두천시","경기 동두천시 동두천로 1길 27","031-860-2700","","0","0","0"
